wavenumber,blue,black,red
4234.98,34.19059,34.35332,57.20928
4235.944,34.25047,34.40834,57.23466
4236.909,34.31141,34.46302,57.2607
4237.873,34.37033,34.51612,57.28232
4238.837,34.42953,34.57127,57.30394
4239.801,34.49072,34.62791,57.32828
4240.766,34.55206,34.68373,57.35185
4241.73,34.61493,34.73927,57.37431
4242.694,34.67704,34.79582,57.39388
4243.658,34.73766,34.85234,57.41215
4244.623,34.80069,34.90911,57.4339
4245.587,34.86557,34.96643,57.45731
4246.551,34.93191,35.02439,57.47956
4247.515,34.99714,35.08142,57.49806
4248.479,35.06173,35.13865,57.51528
4249.444,35.12936,35.19759,57.53623
4250.408,35.19769,35.25687,57.55692
4251.372,35.26529,35.3156,57.57507
4252.336,35.33228,35.3733,57.59032
4253.301,35.39835,35.43066,57.60456
4254.265,35.46668,35.48947,57.6224
4255.229,35.53561,35.54802,57.64076
4256.193,35.60277,35.60567,57.65612
4257.158,35.6692,35.66145,57.66886
4258.122,35.73634,35.71779,57.68182
4259.086,35.80496,35.77576,57.6978
4260.05,35.87315,35.83368,57.71332
4261.015,35.93971,35.89107,57.72582
4261.979,36.00724,35.94798,57.73811
4262.943,36.07577,36.00639,57.75188
4263.908,36.14476,36.06542,57.76613
4264.872,36.214,36.12298,57.77984
4265.836,36.28257,36.17947,57.79207
4266.8,36.3515,36.23749,57.80479
4267.765,36.42175,36.29668,57.81889
4268.729,36.49162,36.3559,57.83438
4269.693,36.5612,36.41588,57.8517
4270.657,36.63056,36.47447,57.86595
4271.622,36.69975,36.5326,57.87917
4272.586,36.7697,36.59137,57.89396
4273.55,36.83932,36.65088,57.90914
4274.514,36.90946,36.71167,57.92511
4275.479,36.97923,36.77106,57.94014
4276.443,37.04712,36.82964,57.95344
4277.407,37.11681,36.88968,57.96815
4278.371,37.18887,36.95077,57.98592
4279.335,37.26051,37.01121,58.00343
4280.3,37.33134,37.07021,58.0186
4281.264,37.40123,37.12931,58.03158
4282.228,37.47244,37.18985,58.04728
4283.192,37.54457,37.25171,58.06615
4284.157,37.61566,37.31264,58.08335
4285.121,37.68578,37.37284,58.09703
4286.085,37.75443,37.43241,58.11076
4287.049,37.82357,37.49213,58.12658
4288.014,37.89556,37.5539,58.14544
4288.978,37.96646,37.61542,58.16421
4289.942,38.03596,37.67567,58.17998
4290.906,38.10507,37.73556,58.19368
4291.871,38.1749,37.79652,58.20974
4292.835,38.24665,37.85905,58.22955
4293.799,38.31722,37.91991,58.24708
4294.764,38.38622,37.97889,58.26274
4295.728,38.45587,38.04,58.27901
4296.692,38.52688,38.10151,58.29692
4297.656,38.59852,38.16238,58.31423
4298.621,38.66774,38.22179,58.33051
4299.584,38.73681,38.28233,58.34691
4300.549,38.80629,38.34641,58.36193
4301.513,38.87628,38.40799,58.37801
4302.478,38.94685,38.46684,58.39538
4303.442,39.01649,38.52715,58.41079
4304.406,39.08506,38.58672,58.42554
4305.37,39.1535,38.64706,58.4449
4306.334,39.22466,38.70863,58.46423
4307.299,39.29438,38.76881,58.48087
4308.263,39.36358,38.82846,58.49941
4309.227,39.43127,38.88773,58.51569
4310.191,39.4976,38.94837,58.53067
4311.156,39.56583,39.00947,58.54661
4312.12,39.63404,39.06929,58.56341
4313.084,39.7029,39.12862,58.58091
4314.048,39.76963,39.188,58.59612
4315.013,39.83656,39.24691,58.61205
4315.977,39.90415,39.30663,58.62978
4316.941,39.97003,39.36472,58.64565
4317.905,40.03705,39.4239,58.66273
4318.87,40.1058,39.48409,58.68035
4319.834,40.17335,39.54273,58.69768
4320.798,40.24039,39.60128,58.71394
4321.762,40.30698,39.65976,58.72935
4322.727,40.37117,39.71647,58.74337
4323.691,40.43525,39.77301,58.75794
4324.655,40.49922,39.83011,58.77165
4325.62,40.56216,39.88715,58.78418
4326.583,40.62356,39.94183,58.79528
4327.548,40.68563,39.99446,58.80639
4328.512,40.74809,40.04836,58.81728
4329.477,40.80951,40.10235,58.82617
4330.44,40.86988,40.15527,58.83482
4331.405,40.92936,40.20712,58.84391
4332.369,40.98869,40.25811,58.8534
4333.333,41.04856,40.31091,58.86375
4334.298,41.10863,40.364,58.87193
4335.262,41.16886,40.41537,58.87921
4336.226,41.22772,40.46592,58.8881
4337.19,41.286,40.51614,58.89737
4338.155,41.34548,40.56815,58.90757
4339.119,41.40442,40.61903,58.91667
4340.083,41.46208,40.66833,58.92422
4341.047,41.51947,40.71796,58.93233
4342.012,41.57764,40.76827,58.94223
4342.976,41.63585,40.81909,58.95154
4343.94,41.69373,40.86893,58.95839
4344.904,41.75079,40.91764,58.96534
