data,data2
3.40749909393491e-05,144079.635816936
3.41365539940828e-05,142527.080377348
3.41981170488166e-05,140974.52493776
3.42596801035503e-05,139428.999765191
3.4321243158284e-05,137909.53310901
3.43828062130178e-05,136390.066452828
3.44443692677515e-05,134870.599796646
3.45059323224852e-05,133353.394555135
3.45674953772189e-05,131839.946300053
3.46290584319527e-05,130326.498044972
3.46906214866864e-05,128813.049789891
3.47521845414201e-05,127453.608882873
3.48137475961539e-05,126256.362322039
3.48753106508876e-05,125059.115761204
3.49368737056213e-05,123861.869200369
3.4998436760355e-05,122666.990193098
3.50599998150888e-05,121474.102721721
3.51215628698225e-05,120281.215250345
3.51831259245562e-05,119088.327778968
3.52446889792899e-05,118050.754502906
3.53062520340237e-05,117144.237460046
3.53678150887574e-05,116237.720417187
3.54293781434911e-05,115331.203374328
3.54909411982249e-05,114427.131770613
3.55525042529586e-05,113525.642873346
3.56140673076923e-05,112624.153976078
3.5675630362426e-05,111722.665078811
3.57371934171598e-05,110896.803782571
3.57987564718935e-05,110198.686278441
3.58603195266272e-05,109500.568774311
3.5921882581361e-05,108802.45127018
3.59834456360947e-05,108106.596348846
3.60450086908284e-05,107419.853632224
3.61065717455621e-05,106733.110915603
3.61681348002959e-05,106046.368198981
3.62296978550296e-05,105359.62548236
3.62912609097633e-05,104818.068613395
3.6352823964497e-05,104281.897785268
3.64143870192308e-05,103745.726957141
3.64759500739645e-05,103209.556129014
3.65375131286982e-05,102695.318534165
3.6599076183432e-05,102191.990736536
3.66606392381657e-05,101688.662938906
3.67222022928994e-05,101185.335141276
3.67837653476331e-05,100725.549014382
3.68453284023669e-05,100362.819663223
3.69068914571006e-05,100000.090312065
3.69684545118343e-05,99637.360960906
3.70300175665681e-05,99274.6316097473
3.70915806213018e-05,98976.4667976342
3.71531436760355e-05,98686.5616495776
3.72147067307692e-05,98396.6565015209
3.7276269785503e-05,98106.7513534643
3.73378328402367e-05,97875.0796583635
3.73993958949704e-05,97731.9044531592
3.74609589497041e-05,97588.7292479549
3.75225220044379e-05,97445.5540427506
3.75840850591716e-05,97302.3788375464
3.76456481139053e-05,97224.9694935282
3.77072111686391e-05,97160.1852886076
3.77687742233728e-05,97095.4010836871
3.78303372781065e-05,97030.6168787665
3.78919003328402e-05,96985.5773352834
3.7953463387574e-05,97013.5802135302
3.80150264423077e-05,97041.5830917769
3.80765894970414e-05,97069.5859700237
3.81381525517752e-05,97097.5888482704
3.81997156065089e-05,97125.8849587836
3.82612786612426e-05,97154.4552401398
3.83228417159763e-05,97183.025521496
3.83844047707101e-05,97211.5958028523
3.84459678254438e-05,97240.1660842085
3.85075308801775e-05,97251.8479562001
3.85690939349113e-05,97257.8311815176
3.8630656989645e-05,97263.8144068352
3.86922200443787e-05,97269.7976321527
3.87537830991124e-05,97275.7808574702
3.88153461538462e-05,97188.7943662147
3.88769092085799e-05,97091.9223292299
3.89384722633136e-05,96995.050292245
3.90000353180473e-05,96898.1782552602
3.90615983727811e-05,96801.3062182753
3.91231614275148e-05,96622.6790302966
3.91847244822485e-05,96442.8366933765
3.92462875369823e-05,96262.9943564564
3.9307850591716e-05,96083.1520195363
3.93694136464497e-05,95903.3096826162
3.94309767011834e-05,95639.9438541163
3.94925397559172e-05,95375.6363411318
3.95541028106509e-05,95111.3288281473
3.96156658653846e-05,94847.0213151628
3.96772289201183e-05,94582.7138021783
3.97387919748521e-05,94316.6671366638
3.98003550295858e-05,94050.4576200157
3.98619180843195e-05,93784.2481033677
3.99234811390533e-05,93518.0385867197
3.9985044193787e-05,93251.8290700717
4.00466072485207e-05,92972.5508750176
4.01081703032544e-05,92689.0790700015
4.01697333579882e-05,92405.6072649854
4.02312964127219e-05,92122.1354599694
4.02928594674556e-05,91838.6636549533
4.03544225221894e-05,91601.0206057269
4.04159855769231e-05,91406.2079643142
4.04775486316568e-05,91211.3953229015
4.05391116863905e-05,91016.5826814889
4.06006747411243e-05,90821.7700400762
4.0662237795858e-05,90627.9223219229
4.07238008505917e-05,90438.1278126139
